City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,mount gambier,-37.8333,140.7667,9.3,72,100,3.46,AU,1717975954
244,balqash,46.8481,74.995,23.1,52,60,2.99,KZ,1717975955
245,la paz,-16.5,-68.15,9.99,21,40,1.03,BO,1717975497
246,sydney,-33.8679,151.2073,15.2,68,20,5.14,AU,1717975952
247,yoko,5.5333,12.3167,18.96,99,99,1.26,CM,1717975959
248,hermanus,-34.4187,19.2345,12.11,77,10,4.46,ZA,1717975961
249,muli,2.9167,73.5667,28.43,76,65,5.02,MV,1717975963
250,lebu,-37.6167,-73.65,12.58,86,87,7.36,CL,1717975913
251,porto novo,6.4965,2.6036,27.9,86,60,3.36,BJ,1717975965
252,mount pearl,47.5166,-52.7813,11.75,92,100,8.75,CA,1717975967
253,lluta,-16.0147,-72.0142,10.27,37,19,0.53,PE,1717975969
254,luderitz,-26.6481,15.1594,21.33,25,16,5.68,NA,1717975970
255,susuman,62.7833,148.1667,7.21,46,28,0.45,RU,1717975973
256,middlebury (village),44.0153,-73.1673,17.06,72,84,4.27,US,1717975974
257,carnarvon,-24.8667,113.6333,20.89,81,98,5.15,AU,1717975941
258,sylhet,24.5,91.6667,25.4,96,45,1.99,BD,1717975978
259,booneville,34.6582,-88.5667,26.79,90,91,5.89,US,1717975980
260,namibe,-15.1961,12.1522,19.66,88,56,3.28,AO,1717975932
261,machala,-3.2667,-79.9667,25.97,78,75,2.57,EC,1717975984
262,egilsstadir,65.2653,-14.3948,4.95,75,75,4.63,IS,1717975985
263,icano,-28.9193,-65.3282,18.48,36,50,2.87,AR,1717975987
264,wagga wagga,-35.1167,147.3667,10.89,88,43,0.45,AU,1717975988
265,kannangad,12.3081,75.1063,26.0,85,70,2.83,IN,1717975989
266,san fernando,15.0286,120.6898,25.85,72,86,0.72,PH,1717975990
267,puerto deseado,-47.7503,-65.8938,6.29,92,100,7.3,AR,1717975924
268,vorkuta,67.5,64.0,2.28,96,100,1.79,RU,1717975993
269,kargasok,59.0556,80.8572,12.76,57,0,3.13,RU,1717975994
270,chebba,35.2372,11.115,22.88,83,100,6.97,TN,1717975995
271,hamilton,39.1834,-84.5333,25.97,36,75,4.63,US,1717975941
272,terrace,54.5163,-128.6035,18.95,48,75,6.69,CA,1717975997
273,enterprise,36.0252,-115.2419,39.07,7,75,5.14,US,1717975805
274,taksimo,56.3444,114.8794,15.16,53,0,0.82,RU,1717975999
275,ola,59.5833,151.2833,8.97,86,99,1.77,RU,1717976000
276,ilhabela,-23.7781,-45.3581,21.03,83,8,1.74,BR,1717976000
277,chibougamau,49.9168,-74.3659,13.79,100,100,2.06,CA,1717976002
278,bubaque,11.2833,-15.8333,26.61,80,45,6.9,GW,1717975925
279,turabah,21.2141,41.6331,28.07,26,6,1.98,SA,1717976003
280,hwangju-up,38.6703,125.7761,22.96,66,7,1.86,KP,1717976004
281,vila franca do campo,37.7167,-25.4333,18.27,99,31,2.66,PT,1717975920
282,omerli,37.4022,40.9541,26.24,39,64,4.17,TR,1717976005
283,west end,26.6833,-78.9667,29.99,75,0,6.4,BS,1717976006
284,lucapa,-8.4192,20.7447,18.5,33,6,1.6,AO,1717976007
285,portstewart,55.1813,-6.714,10.18,75,43,7.57,GB,1717976008
286,hithadhoo,-0.6,73.0833,28.02,75,99,1.93,MV,1717976008
287,mejit,10.2753,170.8646,28.33,80,63,7.62,MH,1717975942
288,mutuali,-14.8706,37.0044,14.18,94,53,1.22,MZ,1717976010
